PlayerName,Team,pass_att,pass_cmp,pass_yds,pass_tds,pass_ints,rush_att,rush_yds,rush_tds,fumbles,fpts
Peyton Manning,DEN,640.3,434.5,"5,270.70",45.7,12,22.5,-2.6,0,3,363.4
Aaron Rodgers,GB,544.1,362.2,"4,563.00",37.4,8.1,49.6,216.6,2,2,345.6
Drew Brees,NO,640,427,"5,052.50",39.2,14,27.5,50.9,0.5,1.5,336
Matthew Stafford,DET,641.4,393.2,"4,810.00",34.1,16.7,31.5,81.9,1.2,2.5,305.8
Andrew Luck,IND,585.6,361.9,"4,277.20",26.8,10.7,61.3,316.7,3.3,3,302.4
Nick Foles,PHI,537.1,346.3,"4,330.30",29.3,12.2,63.4,240.2,2.4,3,298.4
Colin Kaepernick,SF,473.3,281.1,"3,709.50",24.6,11.6,89.6,488.4,4.1,2,293
Matt Ryan,ATL,635.8,421.2,"4,700.30",30.1,13.2,26,71.1,0.8,2,289.9
Tom Brady,NE,632.7,398.3,"4,572.20",30.9,12,26,27.5,1.1,3,285.8
Robert Griffin III,WAS,461.4,284.5,"3,613.80",23.3,11.4,88.9,493.4,3.7,2.5,281.5
Tony Romo,DAL,626.5,401,"4,534.00",31.5,15.1,23.8,41.9,0.8,2.5,281.2
Cam Newton,CAR,480.2,288.9,"3,542.10",21.4,14.4,103,546.8,5.6,3,280.8
Russell Wilson,SEA,442.8,277.5,"3,557.80",25.5,10.4,90.2,457.9,2.5,3,278.3
Jay Cutler,CHI,547.9,342.8,"4,067.60",30.1,14.3,31.9,160.7,1.3,3,272.4
Philip Rivers,SD,558.7,371.6,"4,470.10",29.1,13.6,27.7,52.7,0,3.5,266.3
Ben Roethlisberger,PIT,583.5,371,"4,267.80",28.4,13.6,28,90.5,1,3.5,265.2
Andy Dalton,CIN,535.9,331.8,"3,811.50",27.8,15.1,51.7,148.4,1.5,3,251.3
Ryan Tannehill,MIA,576.7,348.9,"4,030.20",23.1,16.5,48.5,233.1,1.3,3.5,244.7
Carson Palmer,ARI,568.3,354.8,"4,345.10",28.4,18.8,19.1,12.8,0,3.5,244.1
Alex Smith,KC,528.7,318.9,"3,525.60",22.9,11.7,65.9,313.9,1.3,3.5,241.4
Joe Flacco,BAL,562.6,339.9,"3,977.90",24.1,17,32.8,81.5,0.7,3.5,226.9
Eli Manning,NYG,539.1,333.7,"3,955.50",25.2,16.1,21.8,25.8,0,2,225.4
Josh McCown,TB,450.7,271.5,"3,341.60",22.6,13.5,27.4,108.9,1.3,3,209.8
Jake Locker,TEN,415.9,250.6,"2,959.50",17.9,11,47.1,281.5,2.2,2,205.3
E.J. Manuel,BUF,454.2,268.1,"2,992.90",17,13.9,82.4,320.9,1.9,3.5,196.4
Geno Smith,NYJ,435.6,260.2,"2,903.70",17.3,13.7,50,250.6,2.8,3,193.8
Johnny Manziel,CLE,364.9,215.7,"2,561.30",14.3,12.7,75.1,371.3,3.5,2.5,187.4
