Player Name,Team,rush_att,rush_yds,rush_tds,rec_att,rec_yds,rec_tds,fumbles,fpts 
Adrian Peterson,MIN,327,"1,652.40",12.7,39.1,280.1,1.4,2.4,273.4
Doug Martin,TB,300.2,"1,354.00",9.6,53.6,441.7,1.5,1.2,244.1
C.J. Spiller,BUF,286.4,"1,437.40",7.5,48.7,438.3,2.4,2.5,242.3
Arian Foster,HOU,294,"1,296.30",11.4,42,364.2,1.9,2,241.8
Jamaal Charles,KC,252.7,"1,414.30",6.6,57.4,470.3,2.1,2.5,235.8
Marshawn Lynch,SEA,298.6,"1,429.30",11.3,24.9,195.5,0.9,2.4,230.9
Trent Richardson,CLE,294.4,"1,233.40",9.9,49.2,393.7,1.5,1.7,227.5
Ray Rice,BAL,252,"1,158.60",8.2,60.8,494.2,2.1,1.8,223.5
LeSean McCoy,PHI,266.6,"1,212.50",8.4,53.5,409.5,2.2,2.2,221.1
Alfred Morris,WAS,313,"1,433.30",11.1,14.8,95.2,0.2,2.6,215.8
Matt Forte,CHI,252.1,"1,128.00",5.4,61,465.3,2.4,2.1,202.1
Steven Jackson,ATL,246.9,"1,082.10",8.8,40.9,322.6,0.8,1,196.2
Stevan Ridley,NE,273,"1,250.80",10.9,8.9,77.3,0.2,2.4,194.4
Chris Johnson,TEN,262.3,"1,232.60",6.5,39.8,308.3,0.8,2,193.3
Reggie Bush,DET,197.4,901.7,5.1,70,547,2.9,2.1,188.8
Maurice Jones-Drew,JAC,266.9,"1,147.10",6.6,36.5,297.9,1.1,2.2,186.4
David Wilson,NYG,233.4,"1,123.90",6.9,27.9,251.2,1.4,1.2,184.7
DeMarco Murray,DAL,231.8,"1,094.90",6.7,39.9,300,0.8,1.9,180.9
Frank Gore,SF,244.7,"1,093.50",7.8,24.4,201.9,1,1.7,178.6
Lamar Miller,MIA,226.6,"1,047.20",6.6,33.2,266.1,1.3,1.6,175.4
Darren McFadden,OAK,212.4,986.1,5.7,37.3,293.2,1.1,2,164.9
Darren Sproles,NO,72.5,411.8,2.2,79.7,692.2,6.5,0.7,161.3
Eddie Lacy,GB,210.9,933.3,7.4,24.5,185,0.8,1.4,157.8
Ryan Mathews,SD,210.9,901.6,5.4,31.9,248.8,0.6,2.1,147
Montee Ball,DEN,188.9,847.6,7.2,23.9,183.9,0.5,1.8,146.2
Rashard Mendenhall,ARI,226.5,916.4,6.1,22.5,170.6,0.4,1.4,144.7
Ahmad Bradshaw,IND,177.5,831.1,5.8,27.8,211.8,0.9,1.1,141.9
Christopher Ivory,NYJ,195,915.5,6.4,14.3,118.4,0.4,1.6,141.2
Daryl Richardson,STL,195,822.3,4.7,36.7,263.6,1.1,2.3,138.9
Giovani Bernard,CIN,164.9,762.7,4.2,39.8,306.6,1.3,1.4,137.3
Shane Vereen,NE,121.5,528.3,4.1,53.8,448.5,2.5,0.7,135.9
DeAngelo Williams,CAR,182.5,813.7,5.4,19.8,145.6,0.8,1.4,130.1
Mark Ingram,NO,178.9,749.9,6.6,10.2,62.6,0.1,0.9,119.7
BenJarvus Green-Ellis,CIN,180.6,770.3,6,11.8,88.2,0,1.2,119.6
Ben Tate,HOU,144.6,672.7,4.8,15.5,108.5,0.2,1,106.4
Danny Woodhead,SD,95.2,422.3,2.5,41.7,352.2,1.6,0.4,101.1
Pierre Thomas,NO,115.8,517.2,3.1,34.4,273.9,0.9,1.2,100.8
Vick Ballard,IND,138.3,557.6,4.3,20.9,154.5,0.8,0.7,100.6
Bernard Pierce,BAL,144.2,661.7,3.5,13.9,100.4,0.4,0.5,98.6
Willis McGahee,FA,0,488,2,0,327,1,1,97.5
Bryce Brown,PHI,135.9,597.5,4.1,17.9,121.4,0.5,1.9,95.5
Le'Veon Bell,PIT,133,569.3,4.2,16.4,118.4,0.5,0.8,95.5
Fred Jackson,BUF,123.1,527.9,3.5,24.8,191,0.9,1.5,95.3
Ronnie Hillman,DEN,122.2,537.2,2.8,27.4,209.1,0.9,1.2,94.4
Andre Brown,NYG,104.7,475.4,4.9,14.1,108.2,0.2,0.6,88.1
Joique Bell,DET,98,432,2.4,30.4,240.7,1,0.8,86.1
Jacquizz Rodgers,ATL,89.6,394.7,1.3,39.2,311.1,1.1,0.5,84.2
Isaiah Pead,STL,115.5,547.4,2.8,15.8,114.8,0.4,0.9,83.5
Jonathan Stewart,CAR,112.9,488.9,3.1,17.2,146.7,0.6,1.1,83.5
Isaac Redman,PIT,123.7,490,3.1,16.4,125.3,0.3,0.9,80.1
Shonn Greene,TEN,110.5,460.2,4.8,9.9,69.6,0,1,79.8
Bilal Powell,NYJ,110.2,456.5,2.5,23.1,165.1,0.5,0.3,79.8
Michael Bush,CHI,107.4,405.3,5,10.7,88.3,0.3,0.8,79.4
Daniel Thomas,MIA,110.3,425.9,3.7,16.7,126.2,0.4,1.2,76.9
Kendall Hunter,SF,103.4,460.8,2.4,14.8,128.8,0.2,0.5,73.4
Knowshon Moreno,DEN,85.8,350.9,2.5,23.6,171.6,0.9,0.7,71.3
Roy Helu,WAS,74.6,329.7,1.6,30.3,229,1.1,0.8,70.7
Mike Tolbert,CAR,59.5,227.9,4.5,28.5,194.5,0.5,0.8,70.6
Marcel Reece,OAK,48.7,202.8,0.8,39.5,320,1.9,0.5,66.9
Mikel Leshoure,DET,78.2,346.9,4.4,10.9,74.2,0,1.4,65.9
Knile Davis,KC,90.7,399,2.4,12.8,96,0.2,0.8,63.1
Johnathan Franklin,GB,72.4,323.5,1.9,17.3,141.3,0.9,0.2,63
Dexter McCluster,KC,22,89,0,53,415,2,0,62.4
Christine Michael,SEA,83,376.8,2.1,11.4,90.1,0.2,0.1,60.5
Toby Gerhart,MIN,74.6,316.1,1.9,18.3,151.5,0.5,0.7,59.8
LaRod Stephens-Howling,PIT,60.3,258,1.1,27.4,208.3,1.2,0.6,59.5
Rashad Jennings,OAK,91.7,375.1,1.7,15.8,115.8,0.2,1,58.1
Robert Turbin,SEA,68.5,314.7,1.5,15.5,129.2,0.5,0.1,56.1
Denard Robinson,JAC,55.1,273.2,1.2,19.7,172.9,0.7,0.9,53.9
LaMichael James,SF,67.1,312.3,1.5,14.1,113,0.5,1,52.6
Mike Goodson,NYJ,57,266.4,1.3,18.2,148.4,0.5,0.5,51.5
Joseph Randle,DAL,63.1,289.5,1.5,14.3,107.6,0.5,0.2,51.3
Lance Dunbar,DAL,67.2,281.1,1.5,14,92,0.5,0.8,48
Ryan Williams,ARI,59.4,298.8,1.5,9.9,83.5,0.3,0.7,47.4
Zac Stacy,STL,69,286.7,2.1,7.9,60.6,0.2,0.5,47.2
LeGarrette Blount,NE,69.7,298,2.7,3.8,19.5,0,0.6,46.5
Jonathan Dwyer,FA,68.9,300.3,1.6,5.2,45.4,0,0.9,42.7
Mike James,TB,59.5,249.2,1.6,7.9,57.2,0.2,0.5,40.7
Donald Brown,IND,61,258.2,0.9,10.3,82.9,0.2,0.2,40.1
Dion Lewis,CLE,33.3,152.9,0.9,15.6,128,0.9,0,38.9
Stepfan Taylor,ARI,69.2,263,1.3,7.8,51.4,0,0.7,38.4
Justin Forsett,JAC,57.1,239.8,0.7,12,81.1,0.3,0.2,38
Mike Gillislee,MIA,52.2,231,1,12.1,85.6,0.2,0.5,37.6
James Starks,GB,52.6,227.4,1.5,6.5,41.3,0.2,0,37
Brandon Jackson,FA,43.6,187.5,0.7,12.2,101.6,0.7,0.1,37
John Kuhn,GB,31,92.4,1.7,16.2,103.4,1.1,0.3,35.9
Felix Jones,PIT,42.6,201.9,0.9,7.6,76.6,0.4,0,35.2
Charles Clay,MIA,1,4,0,31,286,1,0,35
Jordan Todman,JAC,50.6,224.7,1.3,6.7,52.2,0.2,0.7,34.9
Ronnie Brown,SD,40.5,174.2,0.4,17.6,148.8,0.1,0.5,34
