PlayerName,Team,rec_att,rec_yds,rec_tds,fumbles,fpts
Jimmy Graham,NO,87.7,"1,180.30",12.9,0,195.4
Julius Thomas,DEN,76.2,937.8,10.9,0.5,158.2
Rob Gronkowski,NE,69.6,938.5,9.5,0,150.9
Vernon Davis,SF,57.7,771,9.2,0.5,131.3
Jason Witten,DAL,76.7,850.9,6.5,0,124.1
Jordan Cameron,CLE,75.1,886.2,5.9,0.5,123
Dennis Pitta,BAL,66.5,793.8,7,0,121.4
Jordan Reed,WAS,64.5,762.8,6.5,0,115.3
Greg Olsen,CAR,70.5,807.6,5.5,0.5,112.8
Kyle Rudolph,MIN,63.3,700.7,7,0,112.1
Zach Ertz,PHI,57.4,712.8,5.9,0.5,105.7
Martellus Bennett,CHI,62.5,722.9,5,0.5,101.3
Heath Miller,PIT,61.6,682.2,5,1,96.2
Ladarius Green,SD,45.9,655.4,5.1,0,96.1
Antonio Gates,SD,60.7,680.7,4.8,0.5,95.9
Charles Clay,MIA,56.1,656.7,5,1,93.7
Delanie Walker,TEN,58,610.1,5.3,1,90.8
Dwayne Allen,IND,46.5,559.7,4.9,0,85.4
Eric Ebron,DET,41.3,536.3,4.7,0,81.8
Travis Kelce,KC,42,563,4.1,0.5,79.9
Jared Cook,STL,46.1,543.3,3.8,1,75.1
Garrett Graham,HOU,46,506.2,4,0,74.6
Tyler Eifert,CIN,41.7,508.7,3.5,0,71.9
Marcedes Lewis,JAC,41.1,469.6,4,0,71
Coby Fleener,IND,38.5,461.9,3.9,0,69.6
Scott Chandler,BUF,43.3,495.3,3.6,1,69.1
Mychal Rivera,OAK,41.4,461.9,3.6,0,67.8
Jace Amaro,NYJ,31.4,429.2,3,0,60.9
Brent Celek,PHI,34.8,424.9,3.1,0.5,60.1
Austin Seferian-Jenkins,TB,32.2,387,3.5,0,59.7
Zach Miller,SEA,33.3,379.9,3.4,0,58.4
Richard Rodgers,GB,29.3,373.7,3.4,0,57.8
Jermaine Gresham,CIN,36.6,401.9,3.1,1.5,55.8
Timothy Wright,NE,29.6,346.4,2.9,0,52
Levine Toilolo,ATL,26.9,326.9,3,0,50.7
Owen Daniels,BAL,30.9,348.7,2.5,0,49.9
Jermichael Finley,FA,23.9,291,2.8,0,45.6
Brandon Pettigrew,DET,28,283.1,3,1,44.3
Adrien Robinson,NYG,24.8,319.5,1.9,0,43.4
John Carlson,ARI,28.2,293.1,2.3,0,43.1
C.J. Fiedorowicz,HOU,23.3,285.5,2.4,0,43
Andrew Quarless,GB,24.1,273.7,2.3,0,41.2
Jeff Cumberland,NYJ,25.1,294.5,1.9,0,40.9
Anthony Fasano,KC,25.1,256.2,2.5,0,40.6
Lance Kendricks,STL,22.7,243.2,1.9,0,35.7
Brandon Myers,TB,22.5,241.9,1.9,0,35.6
Brandon Bostick,GB,18.3,253.6,1.8,0.5,35.2
Luke Willson,SEA,18.1,236.5,1.9,0,35.1
Gavin Escobar,DAL,17.8,221.5,1.8,0,33
Ryan Griffin,HOU,20.1,227.3,1.5,0,31.7
Benjamin Watson,NO,19.6,215.4,1.6,0,31.3
Ed Dickson,CAR,21.8,233.5,1.2,0,30.6
Joseph Fauria,DET,14.3,169.9,2.2,0.5,29.2
Robert Housler,ARI,18.5,210.2,1.2,0,28.2
Troy Niklas,ARI,14.3,177.9,1.3,0,25.6
Clay Harbor,JAC,17.2,189.1,1.1,0,25.5
David Ausberry,OAK,13.9,166.8,1,0,22.7
Zach Sudfeld,NYJ,14.7,187.7,0.5,0,21.8
Vance McDonald,SF,12.4,171.1,0.6,0,20.7
Jacob Tamme,DEN,13.9,146.5,1,0,20.7
Logan Paulsen,WAS,13.8,153.6,0.8,0,20.2
Virgil Green,DEN,12,165.5,0.5,0,19.6
Jake Ballard,ARI,11.3,141,0.8,0,18.6
Tony Moeaki,BUF,10.3,128.5,0.9,0,18.3
Cory Harkey,STL,12.5,121.5,1,0,18.2
Rhett Ellison,MIN,13,150,0.5,0,18
Jim Dray,CLE,12.8,128.3,0.8,0,17.3
Dion Sims,MIA,9.8,125.6,0.8,0,17.1
Michael Hoomanawanui,NE,11.9,139.6,0.5,0,17
Sean McGrath,KC,11.3,123.8,0.8,0,16.9
James Hanna,DAL,13,137,0.5,0,16.7
Anthony McCoy,SEA,10,113.5,0.5,0,14.4
Arthur Lynch,MIA,9.5,111,0.5,0,14.1
Gary Barnidge,CLE,11,104.2,0.6,0,14
Kellen Davis,NYG,9.1,97.3,0.7,0,13.9
Demetrius Harris,KC,9.2,113.2,0.3,0,13.3
Matt Spaeth,PIT,6.5,73,1,0,13.3
Dante Rosario,CHI,6.8,87.4,0.8,0,13.2
Josh Hill,FA,8.3,86.3,0.8,0,13.1
Nick Kasa,OAK,8.5,93,0.5,0,12.3
Bear Pascoe,ATL,9.8,96,0.4,0,11.9
Joel Dreessen,DEN,8.3,72.8,0.8,0,11.8
David Paulson,PIT,10.4,110.1,0,0,11
Crockett Gillmore,BAL,6,77,0.5,0,10.7
James Casey,PHI,7.4,86.4,0.3,0,10.4
Larry Donnell,NYG,7.1,80.6,0.4,0,10.3
Michael Egnew,MIA,8.3,91.5,0,0,9.2
Chase Ford,MIN,6.5,85,0,0,8.5
Chris Gragg,BUF,5.6,61.9,0.4,0,8.4
Gerell Robinson,DEN,6,72.8,0,0,7.3
John Phillips,SD,8,72.5,0,0,7.3
Craig Stevens,TEN,6.5,71,0,0,7.1
Weslye Saunders,IND,6,68.3,0,0,6.8
Taylor Thompson,TEN,6,67.9,0,0,6.8
Lee Smith,BUF,6.5,64.5,0,0,6.5
Garrett Celek,SF,5.3,58.5,0,0,5.9
Niles Paul,WAS,6,57,0,0,5.7
Allen Reisner,MIN,4.5,56.3,0,0,5.6
Fendi Onobun,JAC,4.5,56.3,0,0,5.6
Kevin Brock,CIN,5,55.5,0,0,5.6
